iter	Passed	Remaining
634	85636	49224
635	85769	49088
636	85938	48972
637	86066	48834
638	86189	48692
639	86319	48554
640	86440	48412
641	86566	48272
642	86717	48146
643	86843	48006
644	87030	47900
645	87188	47778
646	87327	47645
647	87465	47512
648	87592	47372
649	87725	47237
650	87874	47109
651	88027	46983
652	88145	46840
653	88269	46699
654	88394	46558
655	88516	46417
656	88686	46300
657	88838	46174
658	88955	46030
659	89089	45894
660	89204	45749
661	89321	45605
662	89447	45465
663	89582	45330
664	89723	45199
665	89859	45064
666	90022	44943
667	90146	44803
668	90272	44664
669	90415	44533
670	90552	44399
671	90686	44263
672	90816	44126
673	90950	43990
674	91127	43876
675	91282	43750
676	91405	43609
677	91525	43467
678	91643	43324
679	91770	43186
680	91891	43044
681	92010	42902
682	92131	42760
683	92256	42621
684	92368	42476
685	92490	42335
686	92612	42194
687	92733	42053
688	92875	41921
689	93005	41784
690	93114	41638
691	93243	41501
692	93360	41358
693	93496	41224
694	93606	41079
695	93725	40937
696	93837	40792
697	93952	40649
698	94069	40507
699	94189	40366
700	94306	40224
701	94428	40085
702	94543	39942
703	94680	39808
704	94794	39665
705	94908	39522
706	95026	39381
707	95144	39240
708	95261	39098
709	95386	38960
710	95504	38819
711	95628	38681
712	95744	38539
713	95878	38404
714	95986	38260
715	96103	38119
716	96228	37981
717	96351	37842
718	96464	37700
719	96589	37562
720	96708	37422
721	96837	37286
722	96950	37144
723	97065	37003
724	97198	36868
725	97331	36734
726	97456	36596
727	97623	36474
728	97735	36332
729	97870	36198
730	97991	36059
731	98116	35922
732	98237	35783
733	98360	35645
734	98475	35504
735	98608	35370
736	98729	35231
737	98860	35096
738	98991	34961
739	99163	34841
740	99282	34701
741	99410	34565
742	99554	34435
743	99704	34307
744	99843	34174
745	99992	34045
746	100117	33908
747	100245	33772
748	100372	33636
749	100501	33500
750	100644	33369
751	100778	33235
752	100909	33100
753	101046	32967
754	101175	32831
755	101299	32694
756	101432	32560
757	101573	32428
758	101686	32287
759	101841	32160
760	101961	32022
761	102091	31886
762	102203	31746
763	102319	31606
764	102451	31472
765	102595	31341
766	102707	31200
767	102846	31068
768	102961	30928
769	103149	30811
770	103330	30690
771	103463	30556
772	103616	30427
773	103791	30306
774	103937	30175
775	104062	30038
776	104191	29902
777	104301	29762
778	104419	29623
779	104550	29488
780	104684	29354
781	104806	29217
782	104956	29087
783	105150	28969
784	105298	28839
785	105471	28716
786	105638	28590
787	105754	28451
788	105928	28328
789	106053	28191
790	106176	28054
791	106288	27914
792	106409	27776
793	106526	27637
794	106654	27501
795	106774	27364
796	106898	27227
797	107016	27089
798	107150	26955
799	107272	26818
800	107430	26689
801	107607	26566
802	107786	26443
803	107936	26312
804	108071	26178
805	108188	26040
806	108312	25903
807	108426	25764
808	108551	25628
809	108665	25489
810	108786	25352
811	108903	25214
812	109017	25075
813	109135	24937
814	109253	24799
815	109371	24662
816	109494	24525
817	109610	24387
818	109729	24250
819	109859	24115
820	109996	23982
821	110104	23842
822	110222	23705
823	110338	23567
824	110459	23430
825	110576	23293
826	110689	23155
827	110807	23017
828	110923	22880
829	111041	22743
830	111179	22610
831	111297	22473
832	111429	22339
833	111570	22207
834	111755	22083
835	111866	21945
836	111990	21809
837	112102	21671
838	112232	21536
839	112354	21400
840	112486	21266
841	112593	21127
842	112708	20990
843	112838	20856
844	112975	20723
845	113093	20586
846	113229	20453
847	113345	20316
848	113464	20180
849	113580	20043
850	113747	19915
851	113942	19792
852	114060	19656
853	114255	19533
854	114383	19398
855	114496	19261
856	114621	19125
857	114762	18993
858	114907	18861
859	115021	18724
860	115145	18589
861	115256	18451
862	115374	18315
863	115490	18179
864	115617	18044
865	115748	17910
866	115878	17776
867	116006	17641
868	116132	17506
869	116246	17370
870	116378	17236
871	116495	17100
872	116615	16964
873	116736	16829
874	116859	16694
875	116973	16557
876	117090	16422
877	117207	16286
878	117331	16151
879	117455	16016
880	117577	15881
881	117705	15747
882	117938	15627
883	118053	15491
884	118222	15362
885	118342	15226
886	118468	15092
887	118584	14956
888	118702	14821
889	118824	14686
890	118952	14551
891	119062	14415
892	119178	14280
893	119295	14144
894	119414	14009
895	119576	13879
896	119711	13746
897	119840	13612
898	119984	13479
899	120126	13347
900	120386	13227
901	120494	13091
902	120613	12956
903	120741	12822
904	120856	12686
905	120973	12551
906	121098	12416
907	121207	12280
908	121323	12145
909	121438	12010
910	121686	11888
911	121840	11756
912	121972	11622
913	122081	11486
914	122197	11351
